Time	Vin
-0.0033	1.57219
-0.0033	1.57266
-0.0033	1.57266
-0.0033	1.57188
-0.0033	1.57391
-0.0033	1.57344
-0.0033	1.57391
-0.0033	1.57359
-0.0033	1.57437
-0.0033	1.57344
-0.0033	1.57437
-0.0033	1.57563
-0.0033	1.57625
-0.0032	1.57703
-0.0032	1.57703
-0.0032	1.57875
-0.0032	1.57828
-0.0032	1.57766
-0.0032	1.57719
-0.0032	1.57797
-0.0032	1.57922
-0.0032	1.57844
-0.0032	1.58031
-0.0032	1.58109
-0.0032	1.58078
-0.0032	1.58125
-0.0032	1.58172
-0.0032	1.58172
-0.0032	1.58312
-0.0032	1.58406
-0.0032	1.58375
-0.0032	1.58734
-0.0032	1.58938
-0.0032	1.58813
-0.0032	1.58688
-0.0032	1.58813
-0.0032	1.58734
-0.0032	1.58656
-0.0031	1.58859
-0.0031	1.58922
-0.0031	1.58813
-0.0031	1.58844
-0.0031	1.58891
-0.0031	1.58984
-0.0031	1.59125
-0.0031	1.59125
-0.0031	1.59266
-0.0031	1.59297
-0.0031	1.59422
-0.0031	1.595
-0.0031	1.59547
-0.0031	1.59531
-0.0031	1.5975
-0.0031	1.59828
-0.0031	1.59938
-0.0031	1.59797
-0.0031	1.60062
-0.0031	1.60031
-0.0031	1.59953
-0.0031	1.59859
-0.0031	1.60156
-0.0031	1.60078
-0.0031	1.6
-0.003	1.6
-0.003	1.60203
-0.003	1.60156
-0.003	1.60188
-0.003	1.60203
-0.003	1.60359
-0.003	1.60344
-0.003	1.60406
-0.003	1.60344
-0.003	1.60281
-0.003	1.60266
-0.003	1.60469
-0.003	1.60484
-0.003	1.60594
-0.003	1.60688
-0.003	1.60797
-0.003	1.60844
-0.003	1.60844
-0.003	1.60844
-0.003	1.60766
-0.003	1.60719
-0.003	1.6075
-0.003	1.60719
-0.003	1.60875
-0.003	1.60844
-0.0029	1.60813
-0.0029	1.60609
-0.0029	1.60813
-0.0029	1.60844
-0.0029	1.60969
-0.0029	1.61156
-0.0029	1.61359
-0.0029	1.61359
-0.0029	1.61328
-0.0029	1.61375
-0.0029	1.615
-0.0029	1.61656
-0.0029	1.61625
-0.0029	1.615
-0.0029	1.615
-0.0029	1.61563
-0.0029	1.61609
-0.0029	1.61766
-0.0029	1.61828
-0.0029	1.61828
-0.0029	1.62031
-0.0029	1.62063
-0.0029	1.62109
-0.0029	1.62063
-0.0029	1.62109
-0.0028	1.62234
-0.0028	1.62188
-0.0028	1.62297
-0.0028	1.62391
-0.0028	1.62219
-0.0028	1.62141
-0.0028	1.62375
-0.0028	1.62266
-0.0028	1.62219
-0.0028	1.62344
-0.0028	1.62516
-0.0028	1.62312
-0.0028	1.62219
-0.0028	1.62375
-0.0028	1.62469
-0.0028	1.62547
-0.0028	1.62516
-0.0028	1.62781
-0.0028	1.63031
-0.0028	1.6325
-0.0028	1.63281
-0.0028	1.63234
-0.0028	1.63203
-0.0028	1.63313
-0.0028	1.63187
-0.0027	1.63156
-0.0027	1.63359
-0.0027	1.63531
-0.0027	1.63484
-0.0027	1.63453
-0.0027	1.63594
-0.0027	1.63641
-0.0027	1.63687
-0.0027	1.63734
-0.0027	1.63766
-0.0027	1.63797
-0.0027	1.63813
-0.0027	1.63813
-0.0027	1.63797
-0.0027	1.63766
-0.0027	1.63656
-0.0027	1.63859
-0.0027	1.63938
-0.0027	1.63844
-0.0027	1.64016
-0.0027	1.64125
-0.0027	1.64203
-0.0027	1.64328
-0.0027	1.6425
-0.0027	1.64328
-0.0026	1.64344
-0.0026	1.64453
-0.0026	1.64469
-0.0026	1.64422
-0.0026	1.64531
-0.0026	1.64703
-0.0026	1.64547
