Time	Duty
0E-3    0%
8.07E-03	92%
8.76E-03	20%
9.76E-03	20%
1.08E-02	20%
1.18E-02	20%
1.28E-02	20%
1.38E-02	20%
1.48E-02	20%
1.58E-02	20%
1.68E-02	20%
1.78E-02	20%
1.88E-02	20%
1.98E-02	20%
2.08E-02	20%
2.18E-02	20%
2.28E-02	20%
2.38E-02	20%
2.48E-02	20%
2.58E-02	20%
2.68E-02	21%
2.78E-02	21%
2.88E-02	21%
2.98E-02	21%
3.08E-02	22%
3.18E-02	22%
3.28E-02	23%
3.38E-02	23%
3.48E-02	24%
3.58E-02	24%
3.68E-02	24%
3.78E-02	25%
3.89E-02	25%
3.99E-02	26%
4.09E-02	26%
4.19E-02	26%
4.29E-02	26%
4.39E-02	27%
4.49E-02	28%
4.59E-02	27%
4.69E-02	28%
4.79E-02	28%
4.89E-02	29%
4.99E-02	30%
5.09E-02	29%
5.19E-02	30%
5.29E-02	30%
5.39E-02	31%
5.49E-02	31%
5.59E-02	32%
5.69E-02	32%
5.79E-02	32%
5.90E-02	33%
6.00E-02	33%
6.10E-02	34%
6.20E-02	34%
6.30E-02	35%
6.40E-02	35%
6.50E-02	35%
6.60E-02	36%
6.70E-02	36%
6.80E-02	36%
6.90E-02	37%
7.00E-02	37%
7.10E-02	38%
7.20E-02	38%
7.30E-02	38%
7.40E-02	39%
7.50E-02	39%
7.60E-02	40%
7.70E-02	40%
7.80E-02	40%
7.91E-02	41%
8.01E-02	41%
8.11E-02	41%
8.21E-02	42%
8.31E-02	42%
8.41E-02	42%
8.51E-02	43%
8.61E-02	44%
8.71E-02	44%
8.81E-02	44%
8.91E-02	45%
9.01E-02	45%
9.11E-02	45%
9.21E-02	46%
9.31E-02	46%
9.41E-02	46%
9.51E-02	47%
9.61E-02	47%
9.71E-02	48%
9.82E-02	48%
9.92E-02	48%
1.00E-01	49%
1.01E-01	49%
1.02E-01	49%
1.03E-01	50%
1.04E-01	51%
1.05E-01	51%
1.06E-01	51%
1.07E-01	51%
1.08E-01	52%
1.09E-01	52%
1.10E-01	52%
1.11E-01	53%
1.12E-01	53%
1.13E-01	54%
1.14E-01	54%
1.15E-01	54%
1.16E-01	55%
1.17E-01	55%
1.18E-01	56%
1.19E-01	56%
1.20E-01	56%
1.21E-01	57%
1.22E-01	57%
1.23E-01	58%
1.24E-01	58%
1.25E-01	58%
1.26E-01	59%
1.27E-01	60%
1.28E-01	60%
1.29E-01	60%
1.30E-01	60%
1.31E-01	61%
1.32E-01	61%
1.33E-01	61%
1.34E-01	62%
1.35E-01	63%
1.36E-01	63%
1.37E-01	63%
1.38E-01	63%
1.39E-01	64%
1.40E-01	64%
1.41E-01	65%
1.42E-01	65%
1.43E-01	65%
1.44E-01	66%
1.45E-01	67%
1.46E-01	67%
1.47E-01	67%
1.48E-01	67%
1.49E-01	68%
1.50E-01	68%
1.51E-01	69%
1.52E-01	69%
1.53E-01	70%
1.54E-01	70%
1.55E-01	70%
1.56E-01	71%
1.57E-01	71%
1.58E-01	71%
1.59E-01	72%
1.60E-01	72%
1.61E-01	72%
1.62E-01	73%
1.63E-01	73%
1.65E-01	74%
1.66E-01	74%
1.67E-01	74%
1.68E-01	75%
1.69E-01	76%
1.70E-01	76%
1.71E-01	76%
1.72E-01	77%
1.73E-01	77%
1.74E-01	78%
1.75E-01	77%
1.76E-01	78%
1.77E-01	78%
1.78E-01	79%
1.79E-01	79%
1.80E-01	79%
1.81E-01	79%
1.82E-01	79%
1.83E-01	79%
1.84E-01	79%
1.85E-01	79%
1.86E-01	79%
1.87E-01	79%
1.88E-01	79%
1.89E-01	79%
1.90E-01	79%
1.91E-01	79%
1.92E-01	79%
1.93E-01	79%
1.94E-01	79%
1.95E-01	79%
1.96E-01	79%
1.97E-01	79%
1.98E-01	79%
1.99E-01	79%
2.00E-01	79%
2.01E-01	79%
2.02E-01	79%
2.03E-01	79%
2.04E-01	79%
2.05E-01	79%
2.06E-01	79%
2.07E-01	79%
2.08E-01	79%
2.09E-01	79%
2.10E-01	79%
2.11E-01	79%
2.12E-01	79%
2.13E-01	79%
2.14E-01	79%
2.15E-01	79%
2.16E-01	79%
2.17E-01	79%
2.18E-01	79%
2.19E-01	79%
2.20E-01	79%
2.21E-01	79%
2.22E-01	79%
2.23E-01	79%
2.24E-01	79%
2.25E-01	79%
2.26E-01	79%
2.27E-01	79%
2.28E-01	79%
2.29E-01	79%
2.30E-01	79%
2.31E-01	79%
2.32E-01	79%
2.33E-01	79%
2.34E-01	79%
2.35E-01	79%
2.36E-01	79%
2.37E-01	79%
2.38E-01	79%
2.39E-01	79%
2.40E-01	79%
2.41E-01	79%
2.42E-01	79%
2.43E-01	79%
2.44E-01	79%
2.45E-01	79%
2.46E-01	79%
2.47E-01	79%
2.48E-01	79%
2.49E-01	79%
2.50E-01	79%
2.51E-01	79%
2.52E-01	79%
2.53E-01	79%
2.54E-01	79%
2.55E-01	79%
2.56E-01	79%
2.57E-01	79%
2.58E-01	79%
2.59E-01	79%
2.60E-01	79%
2.61E-01	79%
2.62E-01	79%
2.63E-01	79%
2.64E-01	79%
2.65E-01	79%
2.66E-01	79%
2.67E-01	79%
2.68E-01	79%
2.69E-01	79%
2.70E-01	79%
2.71E-01	79%
2.72E-01	79%
2.73E-01	79%
2.74E-01	79%
2.75E-01	79%
2.76E-01	79%
2.77E-01	79%
2.78E-01	79%
2.79E-01	79%
2.80E-01	79%
2.81E-01	79%
2.82E-01	79%
2.83E-01	79%
