qTime	Current
8.07E-03	0.870313
8.76E-03	0.417188
9.76E-03	0.316406
1.08E-02	0.278125
1.18E-02	0.342969
1.28E-02	0.379688
1.38E-02	0.316406
1.48E-02	0.3125
1.58E-02	0.217188
1.68E-02	0.163281
1.78E-02	0.0703125
1.88E-02	-0.102344
1.98E-02	-0.0234375
2.08E-02	0.0109375
2.18E-02	0.0484375
2.28E-02	0.117188
2.38E-02	0.173437
2.48E-02	0.183594
2.58E-02	0.135156
2.68E-02	0.0929688
2.78E-02	0.0195312
2.88E-02	-0.124219
2.98E-02	-0.0226562
3.08E-02	0.05
3.18E-02	0.05625
3.28E-02	0.0992187
3.38E-02	0.214844
3.48E-02	0.23125
3.58E-02	0.188281
3.68E-02	0.14375
3.78E-02	0.03125
3.89E-02	-0.120312
3.99E-02	-0.04375
4.09E-02	0.0257813
4.19E-02	0.0953125
4.29E-02	0.240625
4.39E-02	0.259375
4.49E-02	0.291406
4.59E-02	0.273438
4.69E-02	0.246875
4.79E-02	0.0476563
4.89E-02	-0.148438
4.99E-02	-0.0265625
5.09E-02	0.0992187
5.19E-02	0.165625
5.29E-02	0.250781
5.39E-02	0.417969
5.49E-02	0.440625
5.59E-02	0.342969
5.69E-02	0.271875
5.79E-02	0.0648438
5.90E-02	-0.159375
6.00E-02	0.0195312
6.10E-02	0.141406
6.20E-02	0.210156
6.30E-02	0.31875
6.40E-02	0.471094
6.50E-02	0.454687
6.60E-02	0.439844
6.70E-02	0.360937
6.80E-02	0.0414063
6.90E-02	-0.173437
7.00E-02	0.0585938
7.10E-02	0.119531
7.20E-02	0.23125
7.30E-02	0.417969
7.40E-02	0.532031
7.50E-02	0.657031
7.60E-02	0.495313
7.70E-02	0.358594
7.80E-02	0.0117188
7.91E-02	-0.234375
8.01E-02	0.090625
8.11E-02	0.145313
8.21E-02	0.271875
8.31E-02	0.503125
8.41E-02	0.626562
8.51E-02	0.68125
8.61E-02	0.532031
8.71E-02	0.420313
8.81E-02	-0.0335938
8.91E-02	-0.196094
9.01E-02	0.0664062
9.11E-02	0.178125
9.21E-02	0.325781
9.31E-02	0.54375
9.41E-02	0.660937
9.51E-02	0.742188
9.61E-02	0.564062
9.71E-02	0.427344
9.82E-02	-0.0921875
9.92E-02	-0.229687
1.00E-01	0.078125
1.01E-01	0.241406
1.02E-01	0.353125
1.03E-01	0.6
1.04E-01	0.7125
1.05E-01	0.769531
