Time	Current
5.08E-03	1.6857
5.78E-03	1.3757
6.78E-03	1.0225
7.78E-03	0.824688
8.78E-03	0.738359
9.78E-03	0.710469
1.08E-02	0.709844
1.18E-02	0.716641
1.28E-02	0.716563
1.38E-02	0.697891
1.48E-02	0.649609
1.58E-02	0.578047
1.68E-02	0.509453
1.78E-02	0.478516
1.88E-02	0.469844
1.98E-02	0.487266
2.08E-02	0.522266
2.18E-02	0.5575
2.28E-02	0.587656
2.38E-02	0.598203
2.48E-02	0.576641
2.58E-02	0.523594
2.68E-02	0.467734
2.78E-02	0.448125
2.88E-02	0.453984
2.99E-02	0.487734
3.09E-02	0.539297
3.19E-02	0.593125
3.29E-02	0.644688
3.39E-02	0.667813
3.49E-02	0.645078
3.59E-02	0.576094
3.69E-02	0.510078
3.79E-02	0.48625
3.89E-02	0.504922
3.99E-02	0.554063
4.09E-02	0.627656
4.19E-02	0.707891
4.29E-02	0.766016
4.39E-02	0.784688
4.49E-02	0.74625
4.59E-02	0.657109
4.69E-02	0.568359
4.80E-02	0.542578
4.90E-02	0.568125
5.00E-02	0.639453
5.10E-02	0.736328
5.20E-02	0.837266
5.30E-02	0.907344
5.40E-02	0.911953
5.50E-02	0.848594
5.60E-02	0.730234
5.70E-02	0.626875
5.80E-02	0.598438
5.90E-02	0.637813
6.00E-02	0.731406
6.10E-02	0.855547
6.20E-02	0.985078
6.30E-02	1.05156
6.40E-02	1.04039
6.50E-02	0.949141
6.61E-02	0.788047
6.71E-02	0.678594
6.81E-02	0.653672
6.91E-02	0.70625
7.01E-02	0.823047
7.11E-02	0.988594
7.21E-02	1.13773
7.31E-02	1.20375
7.41E-02	1.17016
7.51E-02	1.04258
7.61E-02	0.849688
7.71E-02	0.726563
7.81E-02	0.704063
7.91E-02	0.774063
8.01E-02	0.931953
8.11E-02	1.12484
8.21E-02	1.29227
8.31E-02	1.35172
8.42E-02	1.2943
8.52E-02	1.12773
8.62E-02	0.901484
8.72E-02	0.764766
8.82E-02	0.752578
8.92E-02	0.848594
9.02E-02	1.04203
9.12E-02	1.2725
9.22E-02	1.44313
9.32E-02	1.50047
9.42E-02	1.40859
9.52E-02	1.20758
9.62E-02	0.950859
9.72E-02	0.8025
9.82E-02	0.802891
9.92E-02	0.93125
1.00E-01	1.16266
1.01E-01	1.42008
1.02E-01	1.60609
1.03E-01	1.6425
1.04E-01	1.52156
1.05E-01	1.28469
1.06E-01	0.999141
1.07E-01	0.844922
1.08E-01	0.854922
1.09E-01	1.01461
1.10E-01	1.2882
1.11E-01	1.57664
1.12E-01	1.76758
1.13E-01	1.78484
1.14E-01	1.63859
1.15E-01	1.3593
1.16E-01	1.03797
1.17E-01	0.881484
1.18E-01	0.909766
1.19E-01	1.10492
1.20E-01	1.41898
1.21E-01	1.73898
1.22E-01	1.92742
1.23E-01	1.92922
1.24E-01	1.73813
1.25E-01	1.41805
1.26E-01	1.07609
1.27E-01	0.919141
1.28E-01	0.971875
1.29E-01	1.20758
1.30E-01	1.56344
1.31E-01	1.90203
1.32E-01	2.06945
1.33E-01	2.03867
1.34E-01	1.81875
1.35E-01	1.46547
1.36E-01	1.1025
1.37E-01	0.950234
1.38E-01	1.03008
1.39E-01	1.30906
1.40E-01	1.70156
1.41E-01	2.04406
1.42E-01	2.22195
1.43E-01	2.16992
1.44E-01	1.91906
1.45E-01	1.52602
1.47E-01	1.13406
1.48E-01	0.991797
1.49E-01	1.09586
1.50E-01	1.41125
1.51E-01	1.84492
1.52E-01	2.20836
1.53E-01	2.37961
1.54E-01	2.29813
1.55E-01	1.99594
1.56E-01	1.56852
1.57E-01	1.16
1.58E-01	1.02742
1.59E-01	1.16367
1.60E-01	1.51406
1.61E-01	1.98875
1.62E-01	2.37203
1.63E-01	2.53836
1.64E-01	2.40758
1.65E-01	2.05172
1.66E-01	1.61016
1.67E-01	1.18055
1.68E-01	1.06109
1.69E-01	1.23234
1.70E-01	1.63266
1.71E-01	2.12406
1.72E-01	2.54109
1.73E-01	2.67414
1.74E-01	2.52969
1.75E-01	2.12992
1.76E-01	1.64992
1.77E-01	1.20516
1.78E-01	1.09781
1.79E-01	1.29938
1.80E-01	1.74344
1.81E-01	2.27133
1.82E-01	2.68734
1.83E-01	2.83297
1.84E-01	2.63836
1.85E-01	2.18156
1.86E-01	1.67047
1.87E-01	1.22398
1.88E-01	1.13133
1.89E-01	1.37172
1.90E-01	1.85781
1.91E-01	2.41477
1.92E-01	2.8393
1.93E-01	2.93289
1.94E-01	2.70461
1.95E-01	2.23094
1.96E-01	1.69359
1.97E-01	1.24203
1.98E-01	1.17156
1.99E-01	1.44281
2.00E-01	1.97805
2.01E-01	2.5725
2.02E-01	2.99055
2.03E-01	3.08828
2.04E-01	2.78141
2.05E-01	2.2707
2.06E-01	1.70375
2.07E-01	1.25328
2.08E-01	1.20883
2.09E-01	1.52336
2.10E-01	2.08602
2.11E-01	2.71797
2.12E-01	3.13586
2.13E-01	3.1582
2.14E-01	2.83492
2.15E-01	2.29117
2.16E-01	1.70883
2.17E-01	1.26281
2.18E-01	1.24945
2.19E-01	1.60086
2.20E-01	2.20188
2.20E-01	2.31523
2.21E-01	1.74055
2.22E-01	1.39063
2.23E-01	1.16648
2.24E-01	0.995703
2.25E-01	0.848828
2.26E-01	0.709688
2.27E-01	0.604688
2.28E-01	0.596406
2.29E-01	0.670078
2.30E-01	0.794453
2.31E-01	0.954219
2.32E-01	1.08523
2.33E-01	1.1543
2.34E-01	1.11531
2.35E-01	0.981094
2.36E-01	0.800859
2.37E-01	0.706875
2.38E-01	0.710547
2.39E-01	0.782266
2.40E-01	0.922734
2.41E-01	1.08867
2.42E-01	1.22258
2.43E-01	1.26133
2.44E-01	1.17992
2.45E-01	1.01891
2.46E-01	0.821797
2.47E-01	0.720234
2.48E-01	0.740625
2.49E-01	0.872188
2.50E-01	1.09844
2.51E-01	1.34344
2.52E-01	1.48805
2.53E-01	1.46961
2.54E-01	1.3175
2.55E-01	1.09484
2.56E-01	0.872969
2.57E-01	0.749453
2.58E-01	0.760234
2.59E-01	0.887031
2.60E-01	1.10797
2.61E-01	1.33352
2.62E-01	1.45594
2.63E-01	1.44414
2.64E-01	1.3018
2.65E-01	1.08469
2.66E-01	0.865234
2.67E-01	0.748672
2.68E-01	0.760234
2.69E-01	0.892656
2.70E-01	1.12
2.71E-01	1.35203
2.72E-01	1.48406
2.73E-01	1.46305
2.74E-01	1.31422
2.75E-01	1.08969
2.76E-01	0.867266
2.77E-01	0.749453
2.78E-01	0.758281
2.79E-01	0.891953
2.81E-01	1.11836
2.82E-01	1.35344
2.82E-01	1.48336
2.83E-01	1.45211
2.84E-01	1.30195
2.85E-01	1.08328
