Time	Duty
5.08E-03	91%
5.78E-03	20%
6.78E-03	20%
7.78E-03	20%
8.78E-03	20%
9.78E-03	20%
1.08E-02	20%
1.18E-02	20%
1.28E-02	20%
1.38E-02	20%
1.48E-02	20%
1.58E-02	20%
1.68E-02	20%
1.78E-02	20%
1.88E-02	20%
1.98E-02	20%
2.08E-02	20%
2.18E-02	20%
2.28E-02	20%
2.38E-02	21%
2.48E-02	22%
2.58E-02	22%
2.68E-02	22%
2.78E-02	23%
2.88E-02	23%
2.99E-02	23%
3.09E-02	24%
3.19E-02	24%
3.29E-02	25%
3.39E-02	25%
3.49E-02	25%
3.59E-02	26%
3.69E-02	26%
3.79E-02	26%
3.89E-02	27%
3.99E-02	27%
4.09E-02	28%
4.19E-02	28%
4.29E-02	29%
4.39E-02	28%
4.49E-02	29%
4.59E-02	29%
4.69E-02	30%
4.80E-02	31%
4.90E-02	30%
5.00E-02	31%
5.10E-02	31%
5.20E-02	32%
5.30E-02	32%
5.40E-02	32%
5.50E-02	33%
5.60E-02	34%
5.70E-02	34%
5.80E-02	34%
5.90E-02	34%
6.00E-02	35%
6.10E-02	35%
6.20E-02	36%
6.30E-02	36%
6.40E-02	36%
6.50E-02	37%
6.61E-02	37%
6.71E-02	38%
6.81E-02	38%
6.91E-02	39%
7.01E-02	39%
7.11E-02	39%
7.21E-02	40%
7.31E-02	40%
7.41E-02	41%
7.51E-02	41%
7.61E-02	41%
7.71E-02	41%
7.81E-02	42%
7.91E-02	43%
8.01E-02	43%
8.11E-02	43%
8.21E-02	44%
8.31E-02	44%
8.42E-02	44%
8.52E-02	44%
8.62E-02	45%
8.72E-02	46%
8.82E-02	46%
8.92E-02	47%
9.02E-02	46%
9.12E-02	47%
9.22E-02	48%
9.32E-02	48%
9.42E-02	48%
9.52E-02	49%
9.62E-02	49%
9.72E-02	50%
9.82E-02	50%
9.92E-02	50%
1.00E-01	51%
1.01E-01	51%
1.02E-01	51%
1.03E-01	52%
1.04E-01	52%
1.05E-01	52%
1.06E-01	53%
1.07E-01	53%
1.08E-01	54%
1.09E-01	54%
1.10E-01	54%
1.11E-01	55%
1.12E-01	55%
1.13E-01	56%
1.14E-01	56%
1.15E-01	56%
1.16E-01	57%
1.17E-01	57%
1.18E-01	58%
1.19E-01	58%
1.20E-01	58%
1.21E-01	59%
1.22E-01	59%
1.23E-01	59%
1.24E-01	60%
1.25E-01	60%
1.26E-01	61%
1.27E-01	61%
1.28E-01	61%
1.29E-01	62%
1.30E-01	63%
1.31E-01	62%
1.32E-01	63%
1.33E-01	64%
1.34E-01	64%
1.35E-01	65%
1.36E-01	64%
1.37E-01	65%
1.38E-01	66%
1.39E-01	66%
1.40E-01	66%
1.41E-01	66%
1.42E-01	67%
1.43E-01	68%
1.44E-01	68%
1.45E-01	68%
1.47E-01	69%
1.48E-01	69%
1.49E-01	70%
1.50E-01	69%
1.51E-01	70%
1.52E-01	71%
1.53E-01	71%
1.54E-01	72%
1.55E-01	71%
1.56E-01	72%
1.57E-01	73%
1.58E-01	73%
1.59E-01	73%
1.60E-01	73%
1.61E-01	74%
1.62E-01	75%
1.63E-01	75%
1.64E-01	75%
1.65E-01	76%
1.66E-01	76%
1.67E-01	76%
1.68E-01	77%
1.69E-01	77%
1.70E-01	78%
1.71E-01	78%
1.72E-01	78%
1.73E-01	79%
1.74E-01	79%
1.75E-01	80%
1.76E-01	80%
1.77E-01	80%
1.78E-01	80%
