Time	Duty
0   0%
0.00297400	100%
0.00495600	71%
0.00594800	20%
0.00693800	20%
0.00793000	20%
0.00892200	20%
0.00991200	20%
0.01090400	20%
0.01189400	20%
0.01288600	20%
0.01387600	20%
0.01486800	20%
0.01585800	20%
0.01685000	20%
0.01784000	20%
0.01883200	20%
0.01982400	20%
0.02081400	20%
0.02180600	20%
0.02279600	21%
0.02378800	22%
0.02477800	22%
0.02577000	23%
0.02676000	23%
0.02775200	24%
0.02874200	24%
0.02973400	25%
0.03072600	26%
0.03171600	26%
0.03270800	27%
0.03369800	27%
0.03469000	28%
0.03568000	29%
0.03667200	29%
0.03766400	30%
0.03865400	30%
0.03964600	31%
0.04063600	32%
0.04162800	32%
0.04261800	33%
0.04361000	33%
0.04460200	34%
0.04559200	34%
0.04658400	35%
0.04757600	36%
0.04856600	36%
0.04955800	37%
0.05054800	37%
0.05154000	38%
0.05253000	39%
0.05352200	39%
0.05451400	40%
0.05550400	40%
0.05649600	41%
0.05748600	42%
0.05847800	42%
0.05947000	43%
0.06046000	43%
0.06145200	44%
0.06244200	45%
0.06343400	45%
0.06442400	46%
0.06541600	46%
0.06640600	47%
0.06739800	48%
0.06839000	48%
0.06938000	49%
0.07037200	49%
0.07136200	50%
0.07235400	51%
0.07334400	51%
0.07433600	52%
0.07532800	52%
0.07631800	53%
0.07731000	54%
0.07830000	54%
0.07929200	55%
0.08028200	55%
0.08127400	56%
0.08226400	57%
0.08325600	57%
0.08424800	58%
0.08523800	58%
0.08623000	59%
0.08722000	59%
0.08821200	60%
0.08920200	61%
0.09019400	61%
0.09118600	62%
0.09217600	62%
0.09316800	63%
0.09415800	63%
0.09515000	64%
0.09614000	65%
0.09713200	65%
0.09812400	66%
0.09911400	66%
0.10010600	67%
0.10109600	68%
0.10208800	68%
0.10307800	69%
0.10407000	69%
0.10506200	70%
0.10605200	71%
0.10704400	71%
0.10803400	72%
0.10902600	73%
0.11001600	73%
0.11100800	73%
0.11199800	73%
0.11299000	73%
0.11398000	73%
0.11497200	73%
0.11596200	73%
0.11695400	73%
0.11794400	73%
0.11893600	73%
0.11992600	73%
0.12091800	73%
0.12190800	73%
0.12290000	73%
0.12389000	73%
0.12488200	73%
0.12587200	73%
0.12686400	73%
0.12785400	73%
0.12884600	73%
0.12983600	73%
0.13082800	73%
0.13181800	73%
0.13281000	73%
0.13380000	73%
0.13479200	73%
0.13578200	73%
0.13677400	73%
0.13776400	73%
0.13875600	73%
0.13974600	73%
0.14073800	73%
0.14172800	73%
0.14272000	73%
0.14371000	73%
0.14470000	73%
0.14569200	73%
0.14668200	73%
0.14767400	73%
0.14866400	73%
0.14965600	73%
0.15064600	73%
0.15163800	73%
0.15262800	73%
0.15362000	73%
0.15461000	73%
0.15560200	73%
0.15659200	73%
0.15758400	73%
0.15857400	73%
0.15956600	73%
0.16055600	73%
0.16154800	73%
0.16253800	73%
0.16353000	73%
0.16452000	73%
0.16551200	73%
0.16650400	73%
0.16749400	73%
0.16848400	73%
0.16947600	73%
0.17046600	73%
0.17145800	73%
0.17245000	73%
0.17344000	73%
0.17443000	73%
0.17542200	73%
0.17641200	73%
0.17740400	73%
0.17839600	73%
0.17938600	73%
0.18037800	73%
0.18136800	73%
0.18236000	73%
0.18335000	73%
0.18434200	73%
0.18533200	73%
0.18632400	73%
0.18731400	73%
0.18830600	73%
0.18929600	73%
0.19028800	73%
0.19128000	73%
0.19227000	73%
0.19326200	73%
0.19425200	73%
0.19524400	73%
0.19623600	73%
0.19722600	73%
0.19821800	73%
0.19920800	73%
0.20020000	73%
0.20119000	73%
0.20218200	73%
0.20317200	73%
0.20416400	73%
0.20515400	73%
0.20614400	73%
0.20713600	73%
0.20812600	73%
0.20911800	73%
0.21010800	73%
0.21110000	73%
0.21209000	73%
0.21308200	73%
0.21407200	73%
0.21506400	73%
0.21605400	73%
0.21704400	73%
0.21803600	73%
0.21902600	73%
0.22001800	73%
0.22100800	73%
0.22200000	73%
0.22299000	73%
0.22398000	73%
0.22497200	73%
0.22596200	73%
0.22695400	73%
0.22794400	73%
0.22893600	73%
0.22992600	73%
0.23091600	73%
0.23190800	73%
0.23289800	73%
0.23389000	73%
0.23488000	73%
0.23587200	73%
0.23686200	73%
0.23785400	73%
0.23884400	73%
0.23983600	73%
0.24082600	73%
0.24181800	73%
0.24280800	73%
0.24379800	73%
0.24479000	73%
0.24578000	73%
0.24677200	73%
0.24776200	73%
0.24875400	73%
0.24974400	73%
0.25073600	73%
0.25172600	73%
0.25271600	73%
0.25370800	73%
0.25469800	73%
0.25569000	73%
0.25668000	73%
0.25767200	73%
0.25866200	73%
0.25965400	73%
0.26064400	73%
0.26163600	73%
0.26262600	73%
0.26361600	73%
0.26460800	73%
0.26559800	73%
0.26659000	73%
0.26758000	73%
0.26857200	73%
0.26956200	73%
0.27055200	73%
0.27154400	73%
0.27253400	73%
0.27352600	73%
0.27451600	73%
0.27550800	73%
0.27649800	73%
0.27749000	73%
0.27848000	73%
0.27947000	73%
